Category: All categories

Week,data science: (Worldwide),machine learning: (Worldwide)
2012-09-23,11,18
2012-09-30,10,16
2012-10-07,9,17
2012-10-14,9,17
2012-10-21,8,17
2012-10-28,8,16
2012-11-04,9,17
2012-11-11,9,15
2012-11-18,7,16
2012-11-25,9,16
2012-12-02,9,17
2012-12-09,10,17
2012-12-16,7,15
2012-12-23,5,12
2012-12-30,7,12
2013-01-06,9,16
2013-01-13,10,16
2013-01-20,10,16
2013-01-27,10,16
2013-02-03,9,15
2013-02-10,9,14
2013-02-17,9,15
2013-02-24,9,17
2013-03-03,10,17
2013-03-10,9,16
2013-03-17,9,16
2013-03-24,9,16
2013-03-31,9,16
2013-04-07,11,17
2013-04-14,11,17
2013-04-21,10,19
2013-04-28,11,18
2013-05-05,11,17
2013-05-12,9,18
2013-05-19,10,17
2013-05-26,9,16
2013-06-02,9,17
2013-06-09,10,17
2013-06-16,10,16
2013-06-23,8,16
2013-06-30,8,15
2013-07-07,9,16
2013-07-14,9,15
2013-07-21,10,15
2013-07-28,9,15
2013-08-04,9,14
2013-08-11,9,14
2013-08-18,12,16
2013-08-25,13,16
2013-09-01,13,16
2013-09-08,15,18
2013-09-15,14,18
2013-09-22,14,18
2013-09-29,12,19
2013-10-06,12,21
2013-10-13,12,21
2013-10-20,12,21
2013-10-27,12,21
2013-11-03,12,19
2013-11-10,14,21
2013-11-17,14,22
2013-11-24,11,19
2013-12-01,14,20
2013-12-08,14,21
2013-12-15,12,19
2013-12-22,8,16
2013-12-29,10,16
2014-01-05,14,19
2014-01-12,16,20
2014-01-19,15,20
2014-01-26,15,22
2014-02-02,15,21
2014-02-09,14,20
2014-02-16,15,21
2014-02-23,14,21
2014-03-02,15,23
2014-03-09,15,22
2014-03-16,14,22
2014-03-23,14,22
2014-03-30,16,24
2014-04-06,15,24
2014-04-13,14,24
2014-04-20,14,21
2014-04-27,15,20
2014-05-04,16,22
2014-05-11,13,21
2014-05-18,14,22
2014-05-25,14,20
2014-06-01,14,21
2014-06-08,15,21
2014-06-15,15,21
2014-06-22,14,22
2014-06-29,13,19
2014-07-06,14,21
2014-07-13,14,22
2014-07-20,14,23
2014-07-27,13,22
2014-08-03,16,22
2014-08-10,18,22
2014-08-17,18,22
2014-08-24,20,22
2014-08-31,22,23
2014-09-07,22,24
2014-09-14,22,24
2014-09-21,19,24
2014-09-28,20,24
2014-10-05,19,25
2014-10-12,20,27
2014-10-19,19,26
2014-10-26,20,27
2014-11-02,20,27
2014-11-09,20,27
2014-11-16,21,28
2014-11-23,18,25
2014-11-30,22,27
2014-12-07,20,28
2014-12-14,18,26
2014-12-21,13,21
2014-12-28,14,20
2015-01-04,22,27
2015-01-11,22,29
2015-01-18,21,27
2015-01-25,22,28
2015-02-01,22,29
2015-02-08,20,29
2015-02-15,20,28
2015-02-22,22,30
2015-03-01,21,30
2015-03-08,22,30
2015-03-15,21,28
2015-03-22,20,29
2015-03-29,22,29
2015-04-05,21,33
2015-04-12,23,33
2015-04-19,23,31
2015-04-26,22,31
2015-05-03,23,31
2015-05-10,24,30
2015-05-17,21,30
2015-05-24,21,30
2015-05-31,22,32
2015-06-07,22,31
2015-06-14,23,31
2015-06-21,22,33
2015-06-28,21,31
2015-07-05,23,32
2015-07-12,22,31
2015-07-19,23,31
2015-07-26,23,31
2015-08-02,24,31
2015-08-09,26,31
2015-08-16,27,32
2015-08-23,29,33
2015-08-30,30,32
2015-09-06,30,34
2015-09-13,32,36
2015-09-20,30,34
2015-09-27,29,36
2015-10-04,29,39
2015-10-11,28,38
2015-10-18,29,37
2015-10-25,28,38
2015-11-01,30,39
2015-11-08,27,45
2015-11-15,27,42
2015-11-22,24,37
2015-11-29,28,40
2015-12-06,28,41
2015-12-13,28,42
2015-12-20,20,33
2015-12-27,21,31
2016-01-03,29,37
2016-01-10,30,39
2016-01-17,31,41
2016-01-24,33,44
2016-01-31,32,42
2016-02-07,30,41
2016-02-14,29,41
2016-02-21,30,41
2016-02-28,30,42
2016-03-06,31,46
2016-03-13,30,46
2016-03-20,29,45
2016-03-27,29,46
2016-04-03,31,48
2016-04-10,31,46
2016-04-17,31,46
2016-04-24,31,44
2016-05-01,30,46
2016-05-08,35,47
2016-05-15,33,49
2016-05-22,32,48
2016-05-29,30,45
2016-06-05,33,48
2016-06-12,32,48
2016-06-19,31,49
2016-06-26,29,46
2016-07-03,29,43
2016-07-10,32,43
2016-07-17,31,45
2016-07-24,31,45
2016-07-31,31,46
2016-08-07,31,45
2016-08-14,30,42
2016-08-21,37,48
2016-08-28,39,47
2016-09-04,39,49
2016-09-11,42,52
2016-09-18,41,56
2016-09-25,40,57
2016-10-02,38,58
2016-10-09,38,56
2016-10-16,40,61
2016-10-23,39,62
2016-10-30,39,60
2016-11-06,40,59
2016-11-13,41,66
2016-11-20,36,63
2016-11-27,41,69
2016-12-04,43,69
2016-12-11,41,67
2016-12-18,36,63
2016-12-25,31,50
2017-01-01,40,63
2017-01-08,49,71
2017-01-15,48,72
2017-01-22,48,70
2017-01-29,49,72
2017-02-05,47,74
2017-02-12,45,76
2017-02-19,49,76
2017-02-26,51,81
2017-03-05,51,79
2017-03-12,48,81
2017-03-19,49,82
2017-03-26,50,85
2017-04-02,51,83
2017-04-09,48,84
2017-04-16,49,84
2017-04-23,51,84
2017-04-30,49,83
2017-05-07,51,85
2017-05-14,49,89
2017-05-21,51,89
2017-05-28,49,84
2017-06-04,51,88
2017-06-11,49,88
2017-06-18,48,90
2017-06-25,47,84
2017-07-02,47,82
2017-07-09,50,86
2017-07-16,50,90
2017-07-23,51,88
2017-07-30,50,89
2017-08-06,51,86
2017-08-13,51,84
2017-08-20,56,85
2017-08-27,58,86
2017-09-03,59,91
2017-09-10,65,100
