Category: All categories

Week,machine learning: (Worldwide)
2012-09-23,16
2012-09-30,15
2012-10-07,16
2012-10-14,17
2012-10-21,15
2012-10-28,16
2012-11-04,16
2012-11-11,15
2012-11-18,15
2012-11-25,15
2012-12-02,16
2012-12-09,16
2012-12-16,14
2012-12-23,11
2012-12-30,12
2013-01-06,15
2013-01-13,14
2013-01-20,14
2013-01-27,16
2013-02-03,14
2013-02-10,15
2013-02-17,15
2013-02-24,17
2013-03-03,16
2013-03-10,15
2013-03-17,15
2013-03-24,16
2013-03-31,15
2013-04-07,16
2013-04-14,17
2013-04-21,18
2013-04-28,17
2013-05-05,16
2013-05-12,17
2013-05-19,16
2013-05-26,16
2013-06-02,15
2013-06-09,15
2013-06-16,16
2013-06-23,15
2013-06-30,14
2013-07-07,15
2013-07-14,15
2013-07-21,15
2013-07-28,14
2013-08-04,13
2013-08-11,14
2013-08-18,14
2013-08-25,15
2013-09-01,16
2013-09-08,17
2013-09-15,17
2013-09-22,18
2013-09-29,18
2013-10-06,21
2013-10-13,20
2013-10-20,19
2013-10-27,20
2013-11-03,20
2013-11-10,20
2013-11-17,21
2013-11-24,17
2013-12-01,19
2013-12-08,19
2013-12-15,18
2013-12-22,15
2013-12-29,15
2014-01-05,19
2014-01-12,18
2014-01-19,19
2014-01-26,21
2014-02-02,20
2014-02-09,21
2014-02-16,20
2014-02-23,21
2014-03-02,22
2014-03-09,21
2014-03-16,20
2014-03-23,21
2014-03-30,23
2014-04-06,22
2014-04-13,22
2014-04-20,21
2014-04-27,20
2014-05-04,23
2014-05-11,21
2014-05-18,20
2014-05-25,19
2014-06-01,21
2014-06-08,20
2014-06-15,20
2014-06-22,20
2014-06-29,18
2014-07-06,20
2014-07-13,20
2014-07-20,21
2014-07-27,20
2014-08-03,21
2014-08-10,21
2014-08-17,22
2014-08-24,22
2014-08-31,22
2014-09-07,24
2014-09-14,24
2014-09-21,24
2014-09-28,23
2014-10-05,24
2014-10-12,25
2014-10-19,23
2014-10-26,26
2014-11-02,25
2014-11-09,25
2014-11-16,27
2014-11-23,24
2014-11-30,25
2014-12-07,27
2014-12-14,25
2014-12-21,19
2014-12-28,19
2015-01-04,26
2015-01-11,27
2015-01-18,26
2015-01-25,26
2015-02-01,29
2015-02-08,28
2015-02-15,26
2015-02-22,28
2015-03-01,29
2015-03-08,28
2015-03-15,26
2015-03-22,28
2015-03-29,27
2015-04-05,31
2015-04-12,33
2015-04-19,30
2015-04-26,29
2015-05-03,30
2015-05-10,29
2015-05-17,30
2015-05-24,28
2015-05-31,31
2015-06-07,30
2015-06-14,29
2015-06-21,31
2015-06-28,29
2015-07-05,30
2015-07-12,30
2015-07-19,31
2015-07-26,30
2015-08-02,29
2015-08-09,30
2015-08-16,29
2015-08-23,31
2015-08-30,30
2015-09-06,33
2015-09-13,34
2015-09-20,33
2015-09-27,35
2015-10-04,35
2015-10-11,36
2015-10-18,36
2015-10-25,37
2015-11-01,37
2015-11-08,42
2015-11-15,39
2015-11-22,36
2015-11-29,37
2015-12-06,40
2015-12-13,40
2015-12-20,31
2015-12-27,29
2016-01-03,35
2016-01-10,36
2016-01-17,39
2016-01-24,41
2016-01-31,40
2016-02-07,39
2016-02-14,38
2016-02-21,40
2016-02-28,39
2016-03-06,45
2016-03-13,43
2016-03-20,42
2016-03-27,43
2016-04-03,45
2016-04-10,43
2016-04-17,44
2016-04-24,43
2016-05-01,42
2016-05-08,44
2016-05-15,44
2016-05-22,45
2016-05-29,44
2016-06-05,44
2016-06-12,45
2016-06-19,47
2016-06-26,44
2016-07-03,41
2016-07-10,40
2016-07-17,42
2016-07-24,43
2016-07-31,43
2016-08-07,42
2016-08-14,40
2016-08-21,46
2016-08-28,46
2016-09-04,47
2016-09-11,49
2016-09-18,53
2016-09-25,54
2016-10-02,54
2016-10-09,55
2016-10-16,57
2016-10-23,59
2016-10-30,57
2016-11-06,55
2016-11-13,64
2016-11-20,59
2016-11-27,65
2016-12-04,65
2016-12-11,63
2016-12-18,60
2016-12-25,46
2017-01-01,60
2017-01-08,67
2017-01-15,69
2017-01-22,68
2017-01-29,70
2017-02-05,71
2017-02-12,72
2017-02-19,72
2017-02-26,77
2017-03-05,75
2017-03-12,77
2017-03-19,79
2017-03-26,81
2017-04-02,80
2017-04-09,80
2017-04-16,78
2017-04-23,82
2017-04-30,79
2017-05-07,81
2017-05-14,85
2017-05-21,85
2017-05-28,79
2017-06-04,84
2017-06-11,82
2017-06-18,84
2017-06-25,83
2017-07-02,79
2017-07-09,83
2017-07-16,85
2017-07-23,84
2017-07-30,85
2017-08-06,82
2017-08-13,79
2017-08-20,81
2017-08-27,85
2017-09-03,87
2017-09-10,100
