Category: All categories

Country,data science: (9/18/12 - 9/18/17),machine learning: (9/18/12 - 9/18/17)
China,17,100
Singapore,44,77
South Korea,14,62
India,40,61
Hong Kong,22,45
Israel,9,44
Nepal,36,42
Switzerland,14,34
United States,30,34
Sri Lanka,14,32
Ireland,20,31
Ghana,29,0
Canada,17,29
Pakistan,22,29
Nigeria,28,20
Taiwan,7,28
Bangladesh,14,25
Kenya,25,22
Denmark,7,24
United Kingdom,18,24
Sweden,6,23
Australia,20,23
Norway,7,22
Finland,7,22
New Zealand,14,22
Iran,6,21
Netherlands,15,21
Tunisia,0,19
South Africa,17,18
Germany,7,18
Portugal,7,18
Greece,8,17
Belgium,8,17
Philippines,16,10
Malaysia,11,15
United Arab Emirates,13,15
Austria,7,15
France,6,14
Czechia,4,13
Egypt,6,13
Croatia,0,13
Spain,5,11
Serbia,6,11
Romania,3,11
Italy,4,9
Bulgaria,0,9
Morocco,4,8
Hungary,4,8
Russia,3,8
Poland,3,8
Vietnam,2,7
Japan,2,7
Chile,3,7
Thailand,4,7
Colombia,3,7
Ukraine,3,6
Peru,3,6
Saudi Arabia,4,6
Turkey,2,6
Brazil,3,5
Indonesia,3,5
Mexico,3,5
Argentina,2,4
